[22-Apr-2012 20:37:23] PHP Notice:  Undefined variable: connection in /Applications/MAMP/htdocs/Lynda_PHPAdv/photoGallery/includes/database.php on line 23
[22-Apr-2012 20:37:23] PHP Warning:  mysql_select_db() expects parameter 1 to be string, resource given in /Applications/MAMP/htdocs/Lynda_PHPAdv/photoGallery/includes/database.php on line 28
[22-Apr-2012 20:39:12] PHP Warning:  mysql_select_db() expects parameter 1 to be string, resource given in /Applications/MAMP/htdocs/Lynda_PHPAdv/photoGallery/includes/database.php on line 28
[22-Apr-2012 20:50:43] PHP Notice:  Use of undefined constant result - assumed 'result' in /Applications/MAMP/htdocs/Lynda_PHPAdv/photoGallery/includes/database.php on line 56
[22-Apr-2012 20:50:43] PHP Notice:  Use of undefined constant result - assumed 'result' in /Applications/MAMP/htdocs/Lynda_PHPAdv/photoGallery/includes/database.php on line 56
[22-Apr-2012 22:47:56] PHP Fatal error:  Class 'User' not found in /Applications/MAMP/htdocs/Lynda_PHPAdv/photoGallery/public/index.php on line 25
[22-Apr-2012 22:49:38] PHP Notice:  Undefined index: lastname in /Applications/MAMP/htdocs/Lynda_PHPAdv/photoGallery/public/index.php on line 27
[22-Apr-2012 22:49:38] PHP Notice:  Undefined index: lastname in /Applications/MAMP/htdocs/Lynda_PHPAdv/photoGallery/public/index.php on line 27
[22-Apr-2012 22:54:18] PHP Fatal error:  Call to undefined method MySQLDatabase::fetcharray() in /Applications/MAMP/htdocs/Lynda_PHPAdv/photoGallery/public/index.php on line 32
[23-Apr-2012 07:08:17] PHP Notice:  Undefined property: User::$username in /Applications/MAMP/htdocs/Lynda_PHPAdv/photoGallery/public/index.php on line 21
[23-Apr-2012 07:28:32] PHP Warning:  array_shift() expects parameter 1 to be array, resource given in /Applications/MAMP/htdocs/Lynda_PHPAdv/photoGallery/includes/user.php on line 31
[23-Apr-2012 07:28:32] PHP Notice:  Undefined variable: user in /Applications/MAMP/htdocs/Lynda_PHPAdv/photoGallery/public/index.php on line 15
[23-Apr-2012 07:28:32] PHP Fatal error:  Call to a member function full_name() on a non-object in /Applications/MAMP/htdocs/Lynda_PHPAdv/photoGallery/public/index.php on line 15
[23-Apr-2012 07:30:23] PHP Warning:  array_shift() expects parameter 1 to be array, resource given in /Applications/MAMP/htdocs/Lynda_PHPAdv/photoGallery/includes/user.php on line 31
[23-Apr-2012 07:30:23] PHP Fatal error:  Call to a member function full_name() on a non-object in /Applications/MAMP/htdocs/Lynda_PHPAdv/photoGallery/public/index.php on line 15
[23-Apr-2012 07:31:50] PHP Warning:  array_shift() expects parameter 1 to be array, resource given in /Applications/MAMP/htdocs/Lynda_PHPAdv/photoGallery/includes/user.php on line 31
[23-Apr-2012 07:31:50] PHP Fatal error:  Call to a member function full_name() on a non-object in /Applications/MAMP/htdocs/Lynda_PHPAdv/photoGallery/public/index.php on line 15
[23-Apr-2012 07:35:29] PHP Fatal error:  Call to a member function full_name() on a non-object in /Applications/MAMP/htdocs/Lynda_PHPAdv/photoGallery/public/index.php on line 15
[23-Apr-2012 07:48:09] PHP Fatal error:  Class 'User' not found in /Applications/MAMP/htdocs/Lynda_PHPAdv/photoGallery/public/index.php on line 14
[23-Apr-2012 07:51:49] PHP Fatal error:  Class 'User' not found in /Applications/MAMP/htdocs/Lynda_PHPAdv/photoGallery/public/index.php on line 14
[23-Apr-2012 07:51:52] PHP Fatal error:  Class 'User' not found in /Applications/MAMP/htdocs/Lynda_PHPAdv/photoGallery/public/index.php on line 14
[23-Apr-2012 07:52:04] PHP Fatal error:  Class 'User' not found in /Applications/MAMP/htdocs/Lynda_PHPAdv/photoGallery/public/index.php on line 14
[23-Apr-2012 11:14:35] PHP Warning:  session_start() [<a href='function.session-start'>function.session-start</a>]: Cannot send session cache limiter - headers already sent (output started at /Applications/MAMP/htdocs/Lynda_PHPAdv/photoGallery/includes/user.php:143) in /Applications/MAMP/htdocs/Lynda_PHPAdv/photoGallery/includes/session.php on line 16
[23-Apr-2012 11:14:35] PHP Warning:  Cannot modify header information - headers already sent by (output started at /Applications/MAMP/htdocs/Lynda_PHPAdv/photoGallery/includes/user.php:143) in /Applications/MAMP/htdocs/Lynda_PHPAdv/photoGallery/includes/functions.php on line 17
[23-Apr-2012 11:30:01] PHP Warning:  Cannot modify header information - headers already sent by (output started at /Applications/MAMP/htdocs/Lynda_PHPAdv/photoGallery/includes/user.php:143) in /Applications/MAMP/htdocs/Lynda_PHPAdv/photoGallery/includes/functions.php on line 17
